Data Venda;Canal de Venda;Local de Venda;PAX;Monetário Vendido;RPK
01/11/16;Telégrafo;Mindscape;30;R$ 2.188,11;3476
01/11/16;TeleVenda;Arena;52;R$ 3.302,38;8197
01/11/16;TeleVenda;Mindscape;19;R$ 1.041,54;2425
01/11/16;Porta a Porta;Mindscape;496;R$ 15.566,34;53278
01/11/16;TeleVenda;Vast;46;R$ 2.721,43;2039
01/11/16;TeleVenda;Arena;485;R$ 19.002,65;66096
01/11/16;TeleVenda;Vast;701;R$ 11.588,27;30866
01/11/16;Telégrafo;Arena;39;R$ 3.538,39;5471
01/11/16;TeleVenda;Ellipsis;44;R$ 2.277,59;2788
01/11/16;Porta a Porta;Vast;910;R$ 14.451,80;40112
01/11/16;Telégrafo;Ellipsis;18;R$ 1.187,12;1127
01/11/16;TeleVenda;Mindscape;425;R$ 12.875,54;48274
01/11/16;Porta a Porta;Ellipsis;383;R$ 9.065,62;20355
01/11/16;Telégrafo;Vast;47;R$ 3.244,38;2055
01/11/16;TeleVenda;Ellipsis;406;R$ 9.846,59;22846
01/11/16;Porta a Porta;Arena;437;R$ 18.994,87;58074
02/11/16;TeleVenda;Ellipsis;1007;R$ 29.177,23;54696
02/11/16;Porta a Porta;Arena;900;R$ 42.869,44;119470
02/11/16;TeleVenda;Mindscape;1029;R$ 39.705,82;122484
02/11/16;TeleVenda;Arena;166;R$ 11.210,85;25105
02/11/16;Porta a Porta;Vast;1451;R$ 28.139,79;63743
02/11/16;Telégrafo;Vast;70;R$ 4.766,68;3312
02/11/16;Porta a Porta;Ellipsis;757;R$ 20.897,44;41533
02/11/16;Telégrafo;Ellipsis;65;R$ 4.097,49;3679
02/11/16;TeleVenda;Arena;1397;R$ 60.879,21;194489
02/11/16;Telégrafo;Mindscape;79;R$ 7.312,08;10169
02/11/16;TeleVenda;Vast;178;R$ 10.462,44;8409
02/11/16;Telégrafo;Arena;105;R$ 7.222,10;14970
02/11/16;TeleVenda;Ellipsis;147;R$ 9.058,08;9326
02/11/16;Porta a Porta;Mindscape;778;R$ 28.082,07;87943
02/11/16;TeleVenda;Vast;1526;R$ 34.605,49;68615
02/11/16;TeleVenda;Mindscape;75;R$ 4.606,27;9320
03/11/16;Telégrafo;Arena;133;R$ 9.497,26;19555
03/11/16;TeleVenda;Arena;1853;R$ 81.680,52;265375
03/11/16;Telégrafo;Mindscape;83;R$ 6.103,50;10207
03/11/16;Porta a Porta;Mindscape;987;R$ 38.006,29;115339
03/11/16;TeleVenda;Mindscape;116;R$ 7.124,93;14900
03/11/16;Porta a Porta;Arena;1071;R$ 50.346,68;147561
03/11/16;Telégrafo;Vast;103;R$ 9.951,66;4291
03/11/16;Telégrafo;Ellipsis;62;R$ 4.731,81;3853
